country,ranking,score,Life_Expectance_at_Birth,gdp_per_capita_ppp,hf_score,hf_rank
Albania,107,4.72,78,13653.25,8.14,43
Algeria,88,5.21,77.1,11627.28,5.26,154
Argentina,47,6.09,76.6,22071.75,7.38,74
Armenia,116,4.56,76,14317.55,8.2,40
Australia,11,7.23,83,49420.94,8.84,8
Austria,10,7.25,81.6,55769.68,8.67,21
Azerbaijan,90,5.21,71.4,14442.04,6.16,127
Bahrain,37,6.2,75.8,49768.98,5.73,143
Bangladesh,125,4.46,74.3,5467.21,5.75,142
Belarus,81,5.32,74.8,19288.04,6.73,109
Belgium,18,6.92,81.4,51977.17,8.61,23
Benin,102,4.88,63.4,3156.44,7.32,76
Bhutan,95,5.08,73.1,12530.17,6.86,98
"Bosnia and Herzegovina",78,5.39,76.8,14851.74,7.54,67
Botswana,148,3.49,62.2,15117.68,7.9,53
Brazil,32,6.3,75.9,14685.13,7.22,78
Bulgaria,97,5.01,75.1,23254.79,8.08,45
"Burkina Faso",115,4.59,62.7,2106.04,6.85,100
Burundi,145,3.78,63.8,729.66,5.02,157
Cambodia,109,4.7,70.1,4464.29,6.47,115
Cameroon,96,5.04,62.4,3756.51,5.63,145
Canada,9,7.28,82.2,49169.12,8.85,6
"Central African Republic",155,3.08,53.1,861.77,5.62,147
Chad,132,4.35,59.6,1562,5.57,150
Chile,26,6.44,80.7,24809.86,8.44,28
China,93,5.19,77.4,15977.76,5.57,150
Colombia,43,6.12,79.3,14616.14,7.01,89
Comoros,142,3.97,67.4,3290.65,6.07,130
"Costa Rica",12,7.17,80.8,20818.06,8.25,37
Croatia,75,5.43,78.6,29412.42,8.16,42
Cyprus,49,6.05,83.1,41741.8,8.42,29
Denmark,2,7.6,81.3,56813.96,8.98,3
"Dominican Republic",77,5.42,72.8,18171.06,7.88,54
Ecuador,50,6.03,78.4,11390.22,7.43,72
"El Salvador",35,6.25,75,9015.66,7.39,73
Estonia,55,5.89,78.9,36153.43,8.91,4
Ethiopia,134,4.29,68.7,2181.66,5.95,132
Finland,1,7.77,81.6,48583.43,8.85,6
France,24,6.59,82.5,45922.79,8.34,34
Gabon,104,4.8,66.5,14478,6.8,104
Georgia,119,4.52,73.3,14989.26,8.2,40
Germany,17,6.98,81.7,53884.38,8.73,15
Ghana,98,5,66.3,5345.94,7.49,70
Greece,82,5.29,81.1,29720.17,7.86,56
Guatemala,27,6.44,72,8673,7.63,65
Guinea,118,4.53,61,2545.14,5.82,138
Haiti,147,3.6,64.1,3112.3,7.21,80
Honduras,59,5.86,71.9,5613.66,7.09,86
Hungary,62,5.76,76.4,32645.66,7.73,59
Iceland,4,7.49,82.3,56615.3,8.77,12
