year,countries,ISO,region,hf_score,hf_rank
2019,Albania,ALB,Eastern Europe,8.14,43
2019,Algeria,DZA,Middle East & North Africa,5.26,154
2019,Angola,AGO,Sub-Saharan Africa,6.09,129
2019,Argentina,ARG,Latin America & the Caribbean,7.38,74
2019,Armenia,ARM,Caucasus & Central Asia,8.2,40
2019,Australia,AUS,Oceania,8.84,8
2019,Austria,AUT,Western Europe,8.67,21
2019,Azerbaijan,AZE,Caucasus & Central Asia,6.16,127
2019,"Bahamas, The",BHS,Latin America & the Caribbean,8.22,38
2019,Bahrain,BHR,Middle East & North Africa,5.73,143
2019,Bangladesh,BGD,South Asia,5.75,142
2019,Barbados,BRB,Latin America & the Caribbean,7.92,51
2019,Belarus,BLR,Eastern Europe,6.73,109
2019,Belgium,BEL,Western Europe,8.61,23
2019,Belize,BLZ,Latin America & the Caribbean,7.64,63
2019,Benin,BEN,Sub-Saharan Africa,7.32,76
2019,Bhutan,BTN,South Asia,6.86,98
2019,Bolivia,BOL,Latin America & the Caribbean,6.94,92
2019,Bosnia and Herzegovina,BIH,Eastern Europe,7.54,67
2019,Botswana,BWA,Sub-Saharan Africa,7.9,53
2019,Brazil,BRA,Latin America & the Caribbean,7.22,78
2019,Brunei Darussalam,BRN,South Asia,6.46,116
2019,Bulgaria,BGR,Eastern Europe,8.08,45
2019,Burkina Faso,BFA,Sub-Saharan Africa,6.85,100
2019,Burundi,BDI,Sub-Saharan Africa,5.02,157
2019,Cabo Verde,CPV,Sub-Saharan Africa,8.26,36
2019,Cambodia,KHM,South Asia,6.47,115
2019,Cameroon,CMR,Sub-Saharan Africa,5.63,145
2019,Canada,CAN,North America,8.85,6
2019,Central African Republic,CAF,Sub-Saharan Africa,5.62,147
2019,Chad,TCD,Sub-Saharan Africa,5.57,150
2019,Chile,CHL,Latin America & the Caribbean,8.44,28
2019,China,CHN,East Asia,5.57,150
2019,Colombia,COL,Latin America & the Caribbean,7.01,89
2019,Comoros,COM,Sub-Saharan Africa,6.07,130
2019,"Congo, Dem. Rep.",COD,Sub-Saharan Africa,5.62,147
2019,"Congo, Rep.",COG,Sub-Saharan Africa,5.55,152
2019,Costa Rica,CRI,Latin America & the Caribbean,8.25,37
2019,Cote d'Ivoire,CIV,Sub-Saharan Africa,6.9,95
2019,Croatia,HRV,Eastern Europe,8.16,42
2019,Cyprus,CYP,Eastern Europe,8.42,29
2019,Czech Republic,CZE,Eastern Europe,8.61,23
2019,Denmark,DNK,Western Europe,8.98,3
2019,Djibouti,DJI,Sub-Saharan Africa,5.84,137
2019,Dominican Republic,DOM,Latin America & the Caribbean,7.88,54
2019,Ecuador,ECU,Latin America & the Caribbean,7.43,72
2019,"Egypt, Arab Rep.",EGY,Middle East & North Africa,4.49,161
2019,El Salvador,SLV,Latin America & the Caribbean,7.39,73
2019,Estonia,EST,Eastern Europe,8.91,4
2019,Eswatini,SWZ,Sub-Saharan Africa,5.79,139
2019,Ethiopia,ETH,Sub-Saharan Africa,5.95,132
2019,Fiji,FJI,Oceania,7.36,75
2019,Finland,FIN,Western Europe,8.85,6
2019,France,FRA,Western Europe,8.34,34
2019,Gabon,GAB,Sub-Saharan Africa,6.8,104
2019,"Gambia, The",GMB,Sub-Saharan Africa,6.88,97
2019,Georgia,GEO,Caucasus & Central Asia,8.2,40
2019,Germany,DEU,Western Europe,8.73,15
2019,Ghana,GHA,Sub-Saharan Africa,7.49,70
2019,Greece,GRC,Eastern Europe,7.86,56
2019,Guatemala,GTM,Latin America & the Caribbean,7.63,65
2019,Guinea,GIN,Sub-Saharan Africa,5.82,138
2019,Guinea-Bissau,GNB,Sub-Saharan Africa,6.77,106
2019,Guyana,GUY,Latin America & the Caribbean,7.49,70
2019,Haiti,HTI,Latin America & the Caribbean,7.21,80
2019,Honduras,HND,Latin America & the Caribbean,7.09,86
2019,"Hong Kong SAR, China",HKG,East Asia,8.41,30
2019,Hungary,HUN,Eastern Europe,7.73,59
2019,Iceland,ISL,Western Europe,8.77,12
2019,India,IND,South Asia,6.39,119
