Country,Year,Life Expectancy at Birth (Both Sexes),Healthy Life Expectancy at Birth (Both Sexes)
Japan,2019,84.3,74.1
Switzerland,2019,83.4,72.5
Republic of Korea,2019,83.3,73.1
Singapore,2019,83.2,73.6
Spain,2019,83.2,72.1
Cyprus,2019,83.1,72.4
Italy,2019,83.0,71.9
Australia,2019,83.0,70.9
Israel,2019,82.6,72.4
Norway,2019,82.6,71.4
France,2019,82.5,72.1
Luxembourg,2019,82.4,71.6
Sweden,2019,82.4,71.9
Iceland,2019,82.3,72.0
Canada,2019,82.2,71.3
New Zealand,2019,82.0,70.2
Malta,2019,81.9,71.5
Ireland,2019,81.8,71.1
Netherlands (Kingdom of the),2019,81.8,71.4
Germany,2019,81.7,70.9
Austria,2019,81.6,70.9
Finland,2019,81.6,71.0
Portugal,2019,81.6,71.0
United Kingdom of Great Britain and Northern Ireland,2019,81.4,70.1
Belgium,2019,81.4,70.6
Slovenia,2019,81.3,70.7
Denmark,2019,81.3,71.0
Greece,2019,81.1,70.9
Kuwait,2019,81.0,70.1
Costa Rica,2019,80.8,70.0
Chile,2019,80.7,70.0
Peru,2019,79.9,69.5
Maldives,2019,79.6,70.0
Panama,2019,79.3,68.7
Colombia,2019,79.3,69.0
Czechia,2019,79.1,68.8
Estonia,2019,78.9,69.2
Croatia,2019,78.6,68.6
Turkiye,2019,78.6,68.4
United States of America,2019,78.5,66.1
Ecuador,2019,78.4,68.5
Poland,2019,78.3,68.7
Slovakia,2019,78.2,68.5
Albania,2019,78.0,69.1
Jordan,2019,77.9,67.6
Cuba,2019,77.8,67.8
Thailand,2019,77.7,68.3
China,2019,77.4,68.5
Iran (Islamic Republic of),2019,77.3,66.3
Qatar,2019,77.2,67.1
Algeria,2019,77.1,66.4
Uruguay,2019,77.1,67.5
Tunisia,2019,77.0,66.9
Sri Lanka,2019,76.9,67.0
Bosnia and Herzegovina,2019,76.8,67.2
Argentina,2019,76.6,67.1
Antigua and Barbuda,2019,76.5,67.0
Hungary,2019,76.4,67.2
Lebanon,2019,76.4,66.0
United Arab Emirates,2019,76.1,66.0
Trinidad and Tobago,2019,76.1,66.2
Jamaica,2019,76.0,66.6
Lithuania,2019,76.0,66.7
Barbados,2019,76.0,67.0
Mexico,2019,76.0,65.8
Armenia,2019,76.0,67.1
Serbia,2019,75.9,66.9
Brazil,2019,75.9,65.4
Montenegro,2019,75.9,67.0
Bahrain,2019,75.8,65.9
Paraguay,2019,75.8,65.8
Libya,2019,75.8,65.2
Romania,2019,75.6,66.8
Latvia,2019,75.4,66.2
Bulgaria,2019,75.1,66.3
El Salvador,2019,75.0,64.9
Nicaragua,2019,75.0,65.5
North Macedonia,2019,74.8,66.1
Belarus,2019,74.8,66.0
Malaysia,2019,74.7,65.7
Belize,2019,74.4,65.3
Saint Lucia,2019,74.3,64.7
Saudi Arabia,2019,74.3,64.0
Brunei Darussalam,2019,74.3,65.6
Bangladesh,2019,74.3,64.3
Kyrgyzstan,2019,74.2,65.8
Mauritius,2019,74.1,63.9
Cabo Verde,2019,74.0,64.8
Kazakhstan,2019,74.0,65.0
Oman,2019,73.9,64.7
Venezuela (Bolivarian Republic of),2019,73.9,64.4
Viet Nam,2019,73.7,65.3
Georgia,2019,73.3,64.7
Republic of Moldova,2019,73.3,64.5
Seychelles,2019,73.3,64.0
Russian Federation,2019,73.2,64.2
Bahamas,2019,73.2,64.4
Saint Vincent and the Grenadines,2019,73.2,64.0
Bhutan,2019,73.1,63.4
Morocco,2019,73.0,63.7
Ukraine,2019,73.0,64.3
Uzbekistan,2019,73.0,64.7
Grenada,2019,72.9,63.9
Dominican Republic,2019,72.8,64.0
